model,external_dataset,internal_macro_f1,external_macro_f1,delta_external_minus_internal,absolute_change
BERT,Reuters,0.8378,0.6131,-0.2247,0.2247
DistilBERT,Reuters,0.8218,0.5869,-0.2349,0.2349
FinBERT,Reuters,0.6794,0.6866,0.007199999999999984,0.007199999999999984
RoBERTa,Reuters,0.8651,0.6388,-0.22629999999999995,0.22629999999999995
BERT,S&P 500,0.8378,0.7549,-0.08289999999999997,0.08289999999999997
DistilBERT,S&P 500,0.8218,0.751,-0.07079999999999997,0.07079999999999997
FinBERT,S&P 500,0.6794,0.7521,0.07269999999999999,0.07269999999999999
RoBERTa,S&P 500,0.8651,0.8145,-0.05059999999999998,0.05059999999999998
BERT,Synthetic,0.8378,0.9742,0.13639999999999997,0.13639999999999997
DistilBERT,Synthetic,0.8218,0.9581,0.13629999999999998,0.13629999999999998
FinBERT,Synthetic,0.6794,0.9551,0.27569999999999995,0.27569999999999995
RoBERTa,Synthetic,0.8651,0.9957,0.13060000000000005,0.13060000000000005
