model_key,model,seed,accuracy,f1_macro,f1_weighted
bert,BERT-base-uncased,42,0.8722,0.8378,0.8733
bert,BERT-base-uncased,123,0.875943000838223,0.8422230563401859,0.8763246407332705
bert,BERT-base-uncased,2024,0.8725901089689857,0.8386465460901303,0.8732894836838263
distilbert,DistilBERT-base-uncased,42,0.8583,0.8218,0.8593
distilbert,DistilBERT-base-uncased,123,0.8587594300083823,0.8212733865908431,0.8593829009771456
distilbert,DistilBERT-base-uncased,2024,0.8633696563285834,0.8263677217718871,0.8643269794316528
finbert,Fine-tuned FinBERT,42,0.8818105616093881,0.8511757179169832,0.8828740635528569
finbert,Fine-tuned FinBERT,123,0.877200335289187,0.8462845834410797,0.8782661150303198
finbert,Fine-tuned FinBERT,2024,0.8780385582564962,0.8464230340291091,0.8785762044729359
roberta,RoBERTa-base,42,0.8906,0.8651,0.8918
roberta,RoBERTa-base,123,0.901089689857502,0.8756918277589879,0.9019115856620077
roberta,RoBERTa-base,2024,0.9006705783738475,0.8776572307826195,0.9013580257776901
