dataset,model,n_eval,accuracy,precision_macro,recall_macro,f1_macro,negative_f1,neutral_f1,positive_f1,source
Internal Twitter test,RoBERTa-base,2386,0.8906119027661358,0.8510658175290176,0.8813553405078571,0.8651345360691675,0.8328840970350404,0.9210439378923028,0.8414755732801595,recomputed from local checkpoint/output
Internal Twitter test,BERT-base-uncased,2386,0.8721709974853311,0.8279759442796569,0.8486912031705215,0.8378059582731471,0.7698519515477793,0.909210095050803,0.8343558282208589,recomputed from local checkpoint/output
Internal Twitter test,DistilBERT-base-uncased,2386,0.8583403185247276,0.8135803172940661,0.8308100852431083,0.8218125555181799,0.7633378932968536,0.8988543371522095,0.8032454361054767,recomputed from local checkpoint/output
Internal Twitter test,Original FinBERT,2387,0.7323,0.6648,0.7154,0.6794,0.6044,0.806,0.6279,02 notebook output
S&P 500 external test,RoBERTa-base,1060,0.8132075471698114,0.8249146937836747,0.8138040816427683,0.8145270895206335,0.8330578512396695,0.7767503302509907,0.8337730870712401,recomputed from local checkpoint/output
S&P 500 external test,BERT-base-uncased,1060,0.7556603773584906,0.7714268575285451,0.7554228289436015,0.7549284020350996,0.7448275862068966,0.7458492975734355,0.774108322324967,recomputed from local checkpoint/output
S&P 500 external test,Original FinBERT,1060,0.7518867924528302,0.7531136205846097,0.7567429204863066,0.7521257588489693,0.7663280116110305,0.7482014388489209,0.7418478260869565,recomputed from local checkpoint/output
S&P 500 external test,DistilBERT-base-uncased,1060,0.7518867924528302,0.7668849820836062,0.7509549874239152,0.7509597985493497,0.7392055267702936,0.7377892030848329,0.7758846657929227,recomputed from local checkpoint/output
Synthetic financial news,RoBERTa-base,3000,0.9957,0.9957,0.9957,0.9957,0.9945,0.997,0.9955,06 notebook output
Synthetic financial news,BERT-base-uncased,3000,0.9743,0.9748,0.9743,0.9742,0.9646,0.9779,0.9802,06 notebook output
Synthetic financial news,DistilBERT-base-uncased,3000,0.9583,0.9591,0.9583,0.9581,0.945,0.971,0.9582,06 notebook output
Synthetic financial news,Original FinBERT,3000,0.955,0.9568,0.955,0.9551,0.9373,0.9578,0.9701,06 notebook output
Reuters external test,Original FinBERT,5000,0.6966,0.6882,0.7021,0.6866,0.7483,0.582,0.7295,07 notebook output
Reuters external test,RoBERTa-base,5000,0.6268,0.7464,0.6723,0.6388,0.7269,0.5412,0.6484,07 notebook output
Reuters external test,BERT-base-uncased,5000,0.6034,0.7165,0.6451,0.6131,0.679,0.5245,0.6359,07 notebook output
Reuters external test,DistilBERT-base-uncased,5000,0.5766,0.6883,0.6201,0.5869,0.6588,0.5052,0.5966,07 notebook output
S&P 500 zero-shot,BART-large-MNLI zero-shot,1060,0.659433962264151,0.7043189368770765,0.6479475226056154,0.5579946565539236,0.8100929614873837,0.11989100817438691,0.744,zero-shot prediction csv
S&P 500 zero-shot,RoBERTa-base NLI zero-shot,1060,0.6084905660377359,0.7423160173160174,0.5965971792837567,0.4912806817376691,0.7522935779816514,0.023323615160349854,0.6982248520710059,zero-shot prediction csv
S&P 500 zero-shot,BERT-base MNLI zero-shot,1060,0.5056603773584906,0.3951330473696915,0.49300738817729783,0.40325759552334417,0.5963060686015831,0.005797101449275362,0.6076696165191741,zero-shot prediction csv
S&P 500 zero-shot,DistilBERT-base MNLI zero-shot,1060,0.4679245283018868,0.5501676478186545,0.4759867831138731,0.38799966678289427,0.5663217309501412,0.07756232686980609,0.5201149425287356,zero-shot prediction csv
